timestamp,network_mode,state,duplex_mode,cell_id,rsrp,rsrq,sinr,avg_neighbor_rsrp,avg_neighbor_rsrq,avg_neighbor_sinr,bandwidth,cell_changed,rssi,band
1742715373.4386952,NR5G-SA,"""NOCONN""","""TDD""",A120C0002,-64,-7,25,0,0,0,100,0,25,NR N41
1742715374.4950902,NR5G-SA,"""NOCONN""","""TDD""",A120C0002,-64,-7,25,0,0,0,100,0,25,NR N41
1742715375.5490751,NR5G-SA,"""NOCONN""","""TDD""",A120C0002,-64,-7,24,0,0,0,100,0,25,NR N41
1742715499.587962,NR5G-SA,CONNECT,TDD,A120C0002,-64,-7,23,-13,-75,-1,100,1,25,NR N41
1742715500.63431,NR5G-SA,CONNECT,TDD,A120C0002,-64,-7,22,-13,-75,0,100,0,25,NR N41
1742715501.6789513,NR5G-SA,CONNECT,TDD,A120C0002,-64,-7,22,-13,-75,0,100,0,25,NR N41
1742715502.7274878,NR5G-SA,CONNECT,TDD,A120C0002,-63,-7,22,-13,-75,0,100,0,25,NR N41
1742715503.7748013,NR5G-SA,CONNECT,TDD,A120C0002,-63,-7,22,-13,-76,0,100,0,25,NR N41
1742715504.8422596,NR5G-SA,CONNECT,TDD,A120C0002,-63,-7,21,-13,-76,0,100,0,25,NR N41
1742715505.8946123,NR5G-SA,CONNECT,TDD,A120C0002,-63,-7,21,-13,-76,-1,100,0,25,NR N41
1742715506.9553947,NR5G-SA,NOCONN,TDD,A120C0002,-67,-9,21,0,0,0,100,0,24,NR N41
1742715508.0163693,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,23,0,0,0,100,0,24,NR N41
1742715509.1020668,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,26,0,0,0,100,0,24,NR N41
1742715510.1786153,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,26,0,0,0,100,0,24,NR N41
1742715511.2339184,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,26,0,0,0,100,0,24,NR N41
1742715512.3154674,NR5G-SA,NOCONN,TDD,A120C0002,-66,-6,20,0,0,0,100,0,24,NR N41
1742715513.3909955,NR5G-SA,NOCONN,TDD,A120C0002,-65,-8,16,0,0,0,100,0,24,NR N41
1742715514.4648075,NR5G-SA,NOCONN,TDD,A120C0002,-65,-8,15,0,0,0,100,0,24,NR N41
1742715515.5496516,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,21,0,0,0,100,0,24,NR N41
1742715516.632606,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,21,0,0,0,100,0,24,NR N41
1742715597.928966,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,26,0,0,0,100,1,24,NR N41
1742715598.9895153,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,26,0,0,0,100,0,24,NR N41
1742715600.0555813,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,26,0,0,0,100,0,24,NR N41
1742715601.117488,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,26,0,0,0,100,0,24,NR N41
1742715602.1784463,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,26,0,0,0,100,0,24,NR N41
1742715603.245447,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,26,0,0,0,100,0,24,NR N41
1742715604.330609,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,26,0,0,0,100,0,24,NR N41
1742715605.40502,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,25,0,0,0,100,0,24,NR N41
1742715606.4605894,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,25,0,0,0,100,0,24,NR N41
1742715607.514907,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,25,0,0,0,100,0,24,NR N41
1742715608.6001508,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,25,0,0,0,100,0,24,NR N41
1742715609.6869316,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,25,0,0,0,100,0,24,NR N41
1742715610.7703507,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,21,0,0,0,100,0,24,NR N41
1742715611.827328,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,25,0,0,0,100,0,24,NR N41
1742715612.8829226,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,26,0,0,0,100,0,24,NR N41
1742715613.9364977,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,26,0,0,0,100,0,24,NR N41
1742715614.9881,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,26,0,0,0,100,0,24,NR N41
1742715616.043854,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,26,0,0,0,100,0,24,NR N41
1742715617.0978262,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,25,0,0,0,100,0,24,NR N41
1742715618.1525283,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,26,0,0,0,100,0,24,NR N41
1742715619.2090628,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,25,0,0,0,100,0,24,NR N41
1742715620.264481,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,25,0,0,0,100,0,24,NR N41
1742715621.317216,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,26,0,0,0,100,0,24,NR N41
1742715622.3729787,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,26,0,0,0,100,0,24,NR N41
1742715623.4437397,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,26,0,0,0,100,0,24,NR N41
1742715624.5308485,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,25,0,0,0,100,0,24,NR N41
1742715625.6167245,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,26,0,0,0,100,0,24,NR N41
1742715626.7044103,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,26,0,0,0,100,0,24,NR N41
1742715627.773802,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,25,0,0,0,100,0,24,NR N41
1742715628.8423648,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,26,0,0,0,100,0,24,NR N41
