timestamp,network_mode,state,duplex_mode,cell_id,rsrp,rsrq,sinr,tx_power,max_neighbor_rsrp,max_neighbor_rsrq,max_neighbor_sinr,avg_neighbor_rsrp,avg_neighbor_rsrq,avg_neighbor_sinr,bandwidth,cell_changed,rssi,band,mcs,ul_bandwidth,ul_throughput,raw_ul_throughput,rtt,retry,cwnd,loss_rate
1743764008.3948967,NR5G-SA,CONNECT,TDD,CFE614000,-100,-9,3,19,0,0,0,0,0,0,100,0,-80,NR N78,16,25159.0,3.0,3061,nan,0,218.0,0.0000
1743764009.5400126,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,3,19,0,0,0,0,0,0,100,0,-75,NR N78,15,73031.0,8.71,8885,nan,0,611.0,0.0000
1743764010.66164,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,3,20,0,0,0,0,0,0,100,0,-77,NR N78,15,70454.0,8.4,8572,nan,0,994.0,0.0000
1743764011.739673,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,3,21,0,0,0,0,0,0,100,0,-74,NR N78,14,82671.0,9.85,10058,nan,0,1.41,0.0000
1743764012.8348966,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,3,21,0,0,0,0,0,0,100,0,-76,NR N78,14,52423.0,6.25,6378,nan,0,1.77,0.0000
1743764013.9284983,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,3,20,0,0,0,0,0,0,100,0,-77,NR N78,13,73415.0,8.75,8932,nan,0,2.16,0.0000
1743764015.0226266,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,3,20,0,0,0,0,0,0,100,0,-78,NR N78,13,73400.0,8.75,8930,nan,0,2.62,0.0000
1743764016.111952,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,3,20,0,0,0,0,0,0,100,0,-78,NR N78,13,62912.0,7.5,7654,nan,0,3.01,0.0000
1743764017.2052693,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,3,20,0,0,0,0,0,0,100,0,-76,NR N78,13,73392.0,8.75,8929,nan,0,3.15,0.0000
1743764018.306387,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,3,20,0,0,0,0,0,0,100,0,-77,NR N78,14,83886.0,10.0,10206,nan,0,3.15,0.0000
1743764019.383633,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,3,20,0,0,0,0,0,0,100,0,-77,NR N78,14,83891.0,10.0,10207,nan,0,3.15,0.0000
1743764020.4708116,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,3,21,0,0,0,0,0,0,100,0,-78,NR N78,15,83889.0,10.0,10206,nan,0,3.15,0.0000
1743764021.5681014,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,3,21,0,0,0,0,0,0,100,0,-75,NR N78,15,73389.0,8.75,8929,nan,0,3.15,0.0000
1743764022.6606655,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,3,21,0,0,0,0,0,0,100,0,-78,NR N78,15,52433.0,6.25,6379,nan,0,3.15,0.0000
1743764023.7573123,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,3,20,0,0,0,0,0,0,100,0,-78,NR N78,13,73398.0,8.75,8930,nan,0,3.15,0.0000
1743764024.822302,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,2,20,0,0,0,0,0,0,100,0,-77,NR N78,13,52432.0,6.25,6379,nan,0,3.15,0.0000
1743764025.9123895,NR5G-SA,CONNECT,TDD,CFE614000,-100,-9,2,21,0,0,0,0,0,0,100,0,-78,NR N78,12,73386.0,8.75,8929,nan,0,3.15,0.0000
1743764027.009044,NR5G-SA,CONNECT,TDD,CFE614000,-100,-9,2,21,0,0,0,0,0,0,100,0,-78,NR N78,12,73151.0,8.75,8900,nan,0,3.15,0.0000
1743764028.105258,NR5G-SA,CONNECT,TDD,CFE614000,-100,-9,2,21,0,0,0,0,0,0,100,0,-78,NR N78,13,52617.0,6.25,6402,nan,0,3.15,0.0000
1743764029.2050042,NR5G-SA,CONNECT,TDD,CFE614000,-100,-9,2,21,0,0,0,0,0,0,100,0,-77,NR N78,13,41942.0,5.0,5103,nan,0,3.15,0.0000
1743764030.3029163,NR5G-SA,CONNECT,TDD,CFE614000,-100,-9,2,20,0,0,0,0,0,0,100,0,-78,NR N78,9,52425.0,6.25,6378,nan,0,3.15,0.0000
1743764031.3999486,NR5G-SA,CONNECT,TDD,CFE614000,-100,-9,2,20,0,0,0,0,0,0,100,0,-78,NR N78,9,52429.0,6.25,6379,nan,0,3.15,0.0000
1743764032.487034,NR5G-SA,CONNECT,TDD,CFE614000,-100,-9,2,21,0,0,0,0,0,0,100,0,-77,NR N78,10,52437.0,6.25,6380,nan,0,3.15,0.0000
1743764033.571254,NR5G-SA,CONNECT,TDD,CFE614000,-100,-9,2,20,0,0,0,0,0,0,100,0,-78,NR N78,10,0.0,0.0,0,nan,0,3.15,0.0000
1743764036.0963626,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,2,20,0,0,0,0,0,0,100,0,-78,NR N78,11,53167.0,6.25,6467,nan,1,3.15,0.0000
1743764037.6371608,NR5G-SA,CONNECT,TDD,CFE614000,-101,-10,2,15,0,0,0,0,0,0,100,0,-78,NR N78,13,0.0,0.0,0,nan,0,3.15,0.0000
1743764038.7312424,NR5G-SA,CONNECT,TDD,CFE614000,-100,-9,2,15,-103,-12,1,-103,-12,1,100,0,-78,NR N78,13,86558.0,8.75,10531,nan,0,3.15,0.0000
1743764039.8389716,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,2,21,-102,-11,1,-102,-11,1,100,0,-73,NR N78,15,73440.0,8.75,8935,nan,0,3.15,0.0000
1743764040.938139,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,2,21,-102,-11,1,-102,-11,1,100,0,-74,NR N78,15,62906.0,7.5,7654,nan,0,3.15,0.0000
1743764042.0741827,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,1,21,-102,-11,1,-102,-11,1,100,0,-73,NR N78,12,62933.0,7.5,7657,nan,0,3.15,0.0000
1743764043.2074542,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,1,21,-101,-11,1,-101,-11,1,100,0,-74,NR N78,12,94368.0,11.2,11481,nan,0,3.15,0.0000
1743764044.3102608,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,1,21,-101,-11,1,-101,-11,1,100,0,-74,NR N78,17,83887.0,10.0,10206,nan,0,3.15,0.0000
1743764045.3976157,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,2,21,-101,-11,1,-101,-11,1,100,0,-74,NR N78,17,62905.0,7.5,7653,nan,0,3.15,0.0000
1743764046.4968174,NR5G-SA,CONNECT,TDD,CFE614000,-100,-10,1,21,-101,-11,1,-101,-11,1,100,0,-73,NR N78,12,62919.0,7.5,7655,nan,0,3.15,0.0000
1743764047.581496,NR5G-SA,CONNECT,TDD,CFE614000,-100,-11,1,20,-101,-11,0,-101,-11,0,100,0,-73,NR N78,11,52425.0,6.25,6378,nan,0,3.15,0.0000
1743764048.677361,NR5G-SA,CONNECT,TDD,CFE614000,-100,-11,1,20,-101,-11,1,-101,-11,1,100,0,-76,NR N78,11,62914.0,7.5,7655,nan,0,3.15,0.0000
1743764049.7734773,NR5G-SA,CONNECT,TDD,CFE614000,-100,-11,1,21,-100,-11,1,-100,-11,1,100,0,-74,NR N78,12,62902.0,7.5,7653,nan,0,3.15,0.0000
1743764050.8805175,NR5G-SA,CONNECT,TDD,CFE614000,-100,-11,1,21,-100,-11,1,-100,-11,1,100,0,-74,NR N78,12,41946.0,5.0,5103,nan,0,3.15,0.0000
1743764051.9397001,NR5G-SA,CONNECT,TDD,CFE614000,-100,-11,1,21,-100,-11,1,-100,-11,1,100,0,-74,NR N78,10,52427.0,6.25,6379,nan,0,3.15,0.0000
1743764053.0369568,NR5G-SA,CONNECT,TDD,CFE614000,-100,-11,1,21,-100,-11,1,-100,-11,1,100,0,-76,NR N78,10,73404.0,8.75,8931,nan,0,3.15,0.0000
1743764054.1600633,NR5G-SA,CONNECT,TDD,CFE614000,-100,-11,1,20,-99,-10,1,-99,-10,1,100,0,-76,NR N78,14,73400.0,8.75,8930,nan,0,3.15,0.0000
1743764055.2553287,NR5G-SA,CONNECT,TDD,CFE614000,-100,-11,1,20,-99,-10,2,-99,-10,2,100,0,-76,NR N78,14,83883.0,10.0,10206,nan,0,3.15,0.0000
1743764056.353317,NR5G-SA,CONNECT,TDD,CFE614000,-100,-11,1,21,-99,-10,2,-99,-10,2,100,0,-76,NR N78,13,62926.0,7.5,7656,nan,0,3.15,0.0000
1743764057.4611707,NR5G-SA,CONNECT,TDD,CFE614000,-100,-11,1,21,-98,-9,2,-98,-9,2,100,0,-76,NR N78,13,52462.0,6.25,6383,nan,0,3.15,0.0000
1743764058.559395,NR5G-SA,CONNECT,TDD,CFE614000,-101,-11,0,20,-97,-9,3,-97,-9,3,100,0,-78,NR N78,10,52421.0,6.25,6378,nan,0,3.15,0.0000
1743764059.6545122,NR5G-SA,CONNECT,TDD,CFE814004,-98,-11,0,20,0,0,0,0,0,0,100,1,-79,NR N78,10,31461.0,3.75,3828,nan,0,3.15,0.0000
1743764060.7529926,NR5G-SA,CONNECT,TDD,CFE814004,-99,-9,3,20,0,0,0,0,0,0,100,0,-78,NR N78,8,9139.0,1.09,1112,nan,0,3.15,0.0000
1743764061.8638058,NR5G-SA,CONNECT,TDD,CFE814004,-100,-9,3,21,0,0,0,0,0,0,100,0,-79,NR N78,8,8619.0,1.03,1049,nan,0,3.15,0.0000
1743764062.994057,NR5G-SA,CONNECT,TDD,CFE814004,-102,-9,3,22,0,0,0,0,0,0,100,0,-80,NR N78,6,9934.0,1.18,1209,nan,0,3.15,0.0000
1743764064.137176,NR5G-SA,CONNECT,TDD,CFE814004,-104,-11,2,22,0,0,0,0,0,0,100,0,-79,NR N78,6,8922.0,1.06,1086,nan,0,3.15,0.0000
1743764065.2507608,NR5G-SA,CONNECT,TDD,CFE814004,-106,-12,1,21,-103,-7,6,-114,-40,0,100,0,-83,NR N78,5,9903.0,1.18,1205,nan,0,3.15,0.0000
1743764066.3683543,NR5G-SA,CONNECT,TDD,CFE814004,-103,-9,4,21,-103,-8,6,-108,-18,1,100,0,-78,NR N78,5,0.0,0.0,0,nan,0,3.15,0.0000
1743764067.471484,NR5G-SA,CONNECT,TDD,CFE814004,-99,-6,7,21,-101,-9,5,-115,-15,0,100,0,-79,NR N78,5,9021.0,1.08,1098,nan,0,3.15,0.0000
1743764068.5844429,NR5G-SA,CONNECT,TDD,CFE814004,-99,-6,7,21,-102,-4,11,-119,-15,-1,100,0,-79,NR N78,5,10487.0,1.25,1276,nan,0,3.15,0.0000
1743764069.7016137,NR5G-SA,CONNECT,TDD,CFE814004,-99,-6,6,22,-102,-4,11,-121,-14,-2,100,0,-77,NR N78,6,0.0,0.0,0,nan,0,3.15,0.0000
1743764070.8113089,NR5G-SA,CONNECT,TDD,CFE814004,-98,-7,5,21,-101,-10,3,-101,-10,3,100,0,-77,NR N78,6,8902.0,1.06,1083,nan,0,3.15,0.0000
1743764071.9394753,NR5G-SA,CONNECT,TDD,CFE814004,-97,-7,5,21,-101,-10,4,-101,-10,4,100,0,-77,NR N78,6,18379.0,2.19,2236,nan,0,3.15,0.0000
1743764073.0366218,NR5G-SA,CONNECT,TDD,CFE814004,-97,-7,4,21,-101,-10,3,-101,-10,3,100,0,-80,NR N78,9,9324.0,1.11,1134,nan,0,3.15,0.0000
1743764074.1809015,NR5G-SA,CONNECT,TDD,CFE814004,-99,-7,4,21,-101,-10,2,-101,-10,2,100,0,-77,NR N78,9,18798.0,2.24,2287,nan,0,3.15,0.0000
1743764075.2829006,NR5G-SA,CONNECT,TDD,CFE814004,-99,-8,4,21,-99,-9,4,-99,-9,4,100,0,-74,NR N78,9,31094.0,3.71,3783,nan,0,3.15,0.0000
1743764076.4102335,NR5G-SA,CONNECT,TDD,CFE814004,-97,-7,6,21,-99,-9,5,-99,-9,5,100,0,-79,NR N78,9,20255.0,2.41,2464,nan,0,3.15,0.0000
1743764077.51573,NR5G-SA,CONNECT,TDD,CFE814004,-99,-8,4,21,-100,-8,5,-100,-8,5,100,0,-77,NR N78,11,0.0,0.0,0,nan,0,3.15,0.0000
1743764078.6408224,NR5G-SA,CONNECT,TDD,CFE814004,-99,-8,4,21,-102,-10,2,-102,-10,2,100,0,-76,NR N78,11,9454.0,1.13,1150,nan,0,3.15,0.0000
1743764079.743819,NR5G-SA,CONNECT,TDD,CFE814004,-98,-8,4,21,-104,-12,1,-104,-12,1,100,0,-77,NR N78,8,10488.0,1.25,1276,nan,0,3.15,0.0000
1743764080.8519957,NR5G-SA,CONNECT,TDD,CFE814004,-101,-8,4,21,-103,-10,2,-103,-10,2,100,0,-76,NR N78,6,8968.0,1.07,1091,nan,0,3.15,0.0000
