timestamp,network_mode,state,duplex_mode,cell_id,rsrp,rsrq,sinr,tx_power,max_neighbor_rsrp,max_neighbor_rsrq,max_neighbor_sinr,avg_neighbor_rsrp,avg_neighbor_rsrq,avg_neighbor_sinr,bandwidth,cell_changed,rssi,band,mcs,ul_bandwidth,ul_throughput,rtt,retry,cwnd,loss_rate
1743334151.552856,NR5G-SA,NOCONN,TDD,DE3B0B093,-75,-2,6,13,-74,-1,10,-74,-1,10,100,1,-60,NR N78,25,nan,nan,nan,nan,nan,nan
1743334152.6520543,NR5G-SA,CONNECT,TDD,DE3B0B093,-75,-2,6,13,-75,-3,9,-75,-3,9,20,0,-55,NR N78,25,nan,nan,nan,nan,nan,nan
1743334153.7488873,NR5G-SA,CONNECT,TDD,DE3B0B093,-75,-3,6,21,-75,-3,9,-75,-3,9,100,0,-54,NR N78,23,40.9,4.87,nan,0,270.0,0.0000
1743334154.8257685,NR5G-SA,CONNECT,TDD,DE3B0B093,-75,-3,6,21,-75,-2,8,-75,-2,8,100,0,-58,NR N78,23,59.7,7.11,nan,0,963.0,0.0000
1743334155.9083748,NR5G-SA,CONNECT,TDD,DE3B0B093,-75,-3,4,21,-75,-2,8,-75,-2,8,100,0,-60,NR N78,21,60.3,7.18,nan,0,1.25,0.0000
1743334156.9973385,NR5G-SA,CONNECT,TDD,DE3B0B093,-75,-3,4,21,-75,-1,8,-75,-1,8,100,0,-59,NR N78,21,52.4,6.25,nan,0,1.57,0.0000
1743334158.0920317,NR5G-SA,CONNECT,TDD,DE3B0B093,-75,-3,3,20,-75,-2,8,-75,-2,8,100,0,-60,NR N78,21,52.4,6.25,nan,0,1.89,0.0000
1743334159.202016,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-3,3,20,-74,-2,8,-74,-2,8,100,0,-60,NR N78,21,52.4,6.25,nan,0,2.21,0.0000
1743334160.2738187,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-3,3,21,-75,-1,8,-75,-1,8,100,0,-60,NR N78,20,62.9,7.5,nan,0,2.56,0.0000
1743334161.3390236,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-3,3,21,-75,-2,8,-75,-2,8,100,0,-60,NR N78,20,52.4,6.25,nan,0,2.89,0.0000
1743334162.4080164,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-3,3,20,-75,-2,8,-75,-2,8,100,0,-57,NR N78,20,62.9,7.5,nan,0,3.16,0.0000
1743334163.4619555,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-4,3,20,-75,-2,7,-75,-2,7,100,0,-57,NR N78,20,52.4,6.25,nan,0,3.16,0.0000
1743334164.523118,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-3,3,21,-75,-2,8,-75,-2,8,100,0,-59,NR N78,20,52.4,6.25,nan,0,3.16,0.0000
1743334165.5647693,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-3,3,21,-75,-2,8,-75,-2,8,100,0,-59,NR N78,20,52.4,6.25,nan,0,3.16,0.0000
1743334166.655958,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-5,3,20,-75,-2,8,-75,-2,8,100,0,-57,NR N78,20,62.9,7.5,nan,0,3.16,0.0000
1743334167.7466662,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-5,3,21,-75,-2,8,-75,-2,8,100,0,-58,NR N78,20,52.4,6.25,nan,0,3.16,0.0000
1743334168.8248699,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-5,3,21,-75,-2,8,-75,-2,8,100,0,-60,NR N78,20,41.9,5.0,nan,0,3.16,0.0000
1743334169.879318,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-4,3,20,-75,-2,8,-75,-2,8,100,0,-59,NR N78,19,52.4,6.25,nan,0,3.16,0.0000
1743334170.9200363,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-5,3,20,-75,-2,7,-75,-2,7,100,0,-57,NR N78,19,52.4,6.25,nan,0,3.16,0.0000
1743334172.0172718,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-5,3,20,-75,-2,7,-75,-2,7,100,0,-56,NR N78,20,62.9,7.5,nan,0,3.16,0.0000
1743334173.0967462,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-5,3,20,-75,-2,7,-75,-2,7,100,0,-60,NR N78,20,62.9,7.5,nan,0,3.16,0.0000
1743334174.2053685,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-4,2,21,-75,-2,7,-75,-2,7,100,0,-58,NR N78,20,52.4,6.25,nan,0,3.16,0.0000
1743334175.250932,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-4,2,21,-75,-2,7,-75,-2,7,100,0,-60,NR N78,20,52.4,6.25,nan,0,3.16,0.0000
1743334176.3345573,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-3,2,20,-75,-2,7,-75,-2,7,100,0,-60,NR N78,19,52.4,6.25,nan,0,3.16,0.0000
1743334177.3864686,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-3,2,20,-75,-1,7,-75,-1,7,100,0,-59,NR N78,19,52.4,6.25,nan,0,3.16,0.0000
1743334178.434839,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-4,2,21,-75,-2,7,-75,-2,7,100,0,-60,NR N78,20,52.4,6.25,nan,0,3.16,0.0000
1743334179.508854,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-4,2,21,-75,-2,7,-75,-2,7,100,0,-57,NR N78,20,52.4,6.25,nan,0,3.16,0.0000
1743334180.5918539,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-4,3,21,-74,-1,8,-74,-1,8,100,0,-60,NR N78,20,62.9,7.5,nan,0,3.16,0.0000
1743334181.6884415,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-3,3,21,-74,-1,8,-74,-1,8,100,0,-60,NR N78,21,52.4,6.25,nan,0,3.16,0.0000
1743334182.7589822,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-3,3,21,-75,-1,8,-75,-1,8,100,0,-58,NR N78,21,62.9,7.5,nan,0,3.16,0.0000
1743334183.8327706,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-3,3,20,-74,-1,8,-74,-1,8,100,0,-57,NR N78,21,52.4,6.25,nan,0,3.16,0.0000
1743334184.9216437,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-3,3,20,-75,-1,8,-75,-1,8,100,0,-60,NR N78,21,52.4,6.25,nan,0,3.16,0.0000
1743334186.0199344,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-3,3,20,-75,-1,8,-75,-1,8,100,0,-60,NR N78,20,62.9,7.5,nan,0,3.16,0.0000
1743334187.0696366,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-3,2,20,-74,-1,8,-74,-1,8,100,0,-60,NR N78,20,41.9,5.0,nan,0,3.16,0.0000
