timestamp,network_mode,state,duplex_mode,cell_id,rsrp,rsrq,sinr,tx_power,max_neighbor_rsrp,max_neighbor_rsrq,max_neighbor_sinr,avg_neighbor_rsrp,avg_neighbor_rsrq,avg_neighbor_sinr,bandwidth,cell_changed,rssi,band,mcs,ul_throughput
1744276212.6777756,NR5G-SA,NOCONN,TDD,DE3B0B093,-78,-6,6,10,0,0,0,0,0,0,100,1,-58,NR N78,26,nan
1744276213.7620373,NR5G-SA,CONNECT,TDD,DE3B0B093,-78,-6,6,10,0,0,0,0,0,0,20,0,-58,NR N78,26,55242.0
1744276214.8541605,NR5G-SA,CONNECT,TDD,DE3B0B093,-77,-7,7,20,0,0,0,0,0,0,100,0,-53,NR N78,25,83525.12
1744276215.9856765,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-6,9,20,0,0,0,0,0,0,100,0,-53,NR N78,25,73267.84
1744276217.076616,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-6,9,20,0,0,0,0,0,0,100,0,-56,NR N78,24,72100.68
1744276218.207768,NR5G-SA,CONNECT,TDD,DE3B0B093,-75,-6,10,20,0,0,0,0,0,0,100,0,-55,NR N78,24,64982.54
