timestamp,network_mode,operator,state,duplex_mode,cell_id,rsrp,rsrq,sinr,tx_power,srxlev,channel_id,max_neighbor_rsrp,max_neighbor_rsrq,max_neighbor_sinr,avg_neighbor_rsrp,avg_neighbor_rsrq,avg_neighbor_sinr,bandwidth,cell_changed,rssi,band,mcs,ul_throughput
1744426532.7056732,NR5G-SA,46011,CONNECT,TDD,DE3B0B093,-72,-2,8,11,44,627264,0,0,0,0,0,0,20,1,-53,NR N78,25,nan
1744426533.7564943,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-74,-11,8,11,42,627264,0,0,0,0,0,0,100,0,-49,NR N78,25,nan
1744426534.8053436,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-74,-11,8,11,42,627264,0,0,0,0,0,0,100,0,-49,NR N78,25,nan
1744426535.8489718,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-72,-1,9,11,44,627264,0,0,0,0,0,0,100,0,-57,NR N78,25,nan
1744426536.8984532,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-72,-1,9,11,44,627264,0,0,0,0,0,0,100,0,-58,NR N78,25,nan
1744426537.9507275,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-73,-1,9,11,43,627264,0,0,0,0,0,0,100,0,-58,NR N78,25,nan
1744426539.0610094,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-73,-1,9,11,43,627264,0,0,0,0,0,0,100,0,-58,NR N78,25,nan
1744426540.1612642,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-73,-1,8,11,43,627264,0,0,0,0,0,0,100,0,-58,NR N78,25,nan
1744426541.2784414,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-73,-3,9,11,44,627264,0,0,0,0,0,0,100,0,-56,NR N78,25,nan
1744426542.3865376,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-73,-3,9,11,44,627264,0,0,0,0,0,0,100,0,-56,NR N78,25,nan
1744426543.487256,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-72,-2,8,11,44,627264,0,0,0,0,0,0,100,0,-57,NR N78,25,nan
1744426544.5966268,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-72,-4,9,11,44,627264,0,0,0,0,0,0,100,0,-55,NR N78,25,nan
1744426545.6920125,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-73,-3,8,11,43,627264,0,0,0,0,0,0,100,0,-57,NR N78,25,nan
1744426546.7945185,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-73,-2,8,11,43,627264,0,0,0,0,0,0,100,0,-58,NR N78,25,nan
1744426547.897069,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-73,-1,8,11,43,627264,0,0,0,0,0,0,100,0,-58,NR N78,25,nan
1744426548.9933035,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-73,-1,9,11,44,627264,0,0,0,0,0,0,100,0,-58,NR N78,25,nan
1744426550.0988164,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-73,-1,9,11,44,627264,0,0,0,0,0,0,100,0,-58,NR N78,25,nan
1744426551.2044675,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-72,-1,8,11,44,627264,0,0,0,0,0,0,100,0,-58,NR N78,25,nan
1744426552.3040464,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-72,-1,8,11,44,627264,0,0,0,0,0,0,100,0,-58,NR N78,25,nan
1744426553.4072607,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-73,-1,8,11,43,627264,0,0,0,0,0,0,100,0,-58,NR N78,25,nan
1744426554.5044506,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-72,-2,6,11,44,627264,0,0,0,0,0,0,100,0,-57,NR N78,25,nan
1744426555.623452,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-72,-2,7,11,44,627264,0,0,0,0,0,0,100,0,-56,NR N78,25,nan
1744426556.7388513,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-72,-2,7,11,44,627264,0,0,0,0,0,0,100,0,-57,NR N78,25,nan
1744426557.8416479,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-72,-2,7,11,44,627264,0,0,0,0,0,0,100,0,-57,NR N78,25,nan
1744426558.95716,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-73,-1,7,11,44,627264,0,0,0,0,0,0,100,0,-58,NR N78,25,nan
1744426560.0282774,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-73,-2,6,11,43,627264,0,0,0,0,0,0,100,0,-58,NR N78,25,nan
1744426561.1424832,NR5G-SA,46011,CONNECT,TDD,DE3B0B093,-73,-2,6,11,43,627264,0,0,0,0,0,0,20,0,-58,NR N78,25,nan
1744426562.2802956,NR5G-SA,46011,CONNECT,TDD,DE3B0B093,-73,-2,6,14,43,627264,0,0,0,0,0,0,20,0,-53,NR N78,24,nan
1744426563.3847241,NR5G-SA,46011,CONNECT,TDD,DE3B0B093,-73,-2,6,14,43,627264,0,0,0,0,0,0,20,0,-58,NR N78,24,nan
1744426564.494685,NR5G-SA,46011,CONNECT,TDD,DE3B0B093,-73,-2,6,6,43,627264,0,0,0,0,0,0,20,0,-55,NR N78,25,nan
1744426565.5953622,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-73,-11,7,6,43,627264,0,0,0,0,0,0,100,0,-49,NR N78,25,nan
